Gene	Gene.name	Level
ENSG00000266173	STRADA	High
ENSG00000266094	RASSF5	High
ENSG00000266074	BAHCC1	High
ENSG00000266028	SRGAP2	Low
ENSG00000265972	TXNIP	Low
ENSG00000265817	FSBP	Medium
ENSG00000265681	RPL17	High
ENSG00000265590	CFAP298-TCP10L	Low
ENSG00000265491	RNF115	High
ENSG00000265354	TIMM23	Medium
ENSG00000265241	RBM8A	High
ENSG00000265107	GJA5	Medium
ENSG00000264522	OTUD7B	Medium
ENSG00000263528	IKBKE	Medium
ENSG00000263465	SRSF8	High
ENSG00000263155	MYZAP	Medium
ENSG00000263002	ZNF234	Medium
ENSG00000263001	GTF2I	High
ENSG00000262814	MRPL12	High
ENSG00000262660	ENSG00000262660	High
ENSG00000261857	MIA	Medium
ENSG00000261796	ISY1-RAB43	High
ENSG00000261652	PIERCE2	Medium
ENSG00000261609	GAN	Medium
ENSG00000261371	PECAM1	Medium
ENSG00000261236	BOP1	Medium
ENSG00000261221	ZNF865	Medium
ENSG00000261150	EPPK1	Medium
ENSG00000260916	CCPG1	Medium
ENSG00000260643	ENSG00000260643	High
ENSG00000260537	ENSG00000260537	Medium
ENSG00000260230	FRRS1L	Medium
ENSG00000260170	ENSG00000260170	Medium
ENSG00000259956	RBM15B	Medium
ENSG00000259494	MRPL46	Medium
ENSG00000259431	THTPA	Medium
ENSG00000259132	ENSG00000259132	High
ENSG00000259112	NDUFC2-KCTD14	Medium
ENSG00000258947	TUBB3	Medium
ENSG00000258890	CEP95	Medium
ENSG00000258644	SYNJ2BP-COX16	Low
ENSG00000258643	BCL2L2-PABPN1	High
ENSG00000258429	PDF	Medium
ENSG00000258315	C17orf49	High
ENSG00000258289	CHURC1	Low
ENSG00000257923	CUX1	High
ENSG00000257727	CNPY2	Medium
ENSG00000257103	LSM14A	Medium
ENSG00000257093	DENND11	Medium
ENSG00000256591	ENSG00000256591	High
ENSG00000256525	POLG2	High
ENSG00000256394	ASIC5	Medium
ENSG00000256269	HMBS	Medium
ENSG00000256043	CTSO	Medium
ENSG00000255730	ENSG00000255730	High
ENSG00000255639	ENSG00000255639	High
ENSG00000255501	CARD18	Low
ENSG00000255439	ENSG00000255439	Medium
ENSG00000255398	HCAR3	Low
ENSG00000255302	EID1	Medium
ENSG00000255154	HTD2	Medium
ENSG00000255112	CHMP1B	High
ENSG00000254996	ANKHD1-EIF4EBP3	Medium
ENSG00000254986	DPP3	Medium
ENSG00000254901	BORCS8	High
ENSG00000254852	NPIPA2	High
ENSG00000254788	CKLF-CMTM1	Low
ENSG00000254772	EEF1G	High
ENSG00000254692	ENSG00000254692	Medium
ENSG00000254505	CHMP4A	Medium
ENSG00000254402	LRRC24	Low
ENSG00000254206	NPIPB11	High
ENSG00000254087	LYN	Low
ENSG00000254004	ZNF260	High
ENSG00000253846	PCDHGA10	High
ENSG00000253729	PRKDC	High
ENSG00000253710	ALG11	Medium
ENSG00000253457	SMIM18	Medium
ENSG00000253276	CCDC71L	Medium
ENSG00000253251	SHLD3	Low
ENSG00000251664	PCDHA12	High
ENSG00000251322	SHANK3	High
ENSG00000250722	SELENOP	High
ENSG00000250510	GPR162	High
ENSG00000250479	CHCHD10	Medium
ENSG00000250424	ENSG00000250424	High
ENSG00000250317	SMIM20	Medium
ENSG00000250305	TRMT9B	Medium
ENSG00000250264	ENSG00000250264	Low
ENSG00000250067	YJEFN3	Medium
ENSG00000249992	TMEM158	High
ENSG00000249853	HS3ST5	Medium
ENSG00000249437	NAIP	Medium
ENSG00000249115	HAUS5	High
ENSG00000248487	ABHD14A	Medium
ENSG00000248485	PCP4L1	High
ENSG00000248333	CDK11B	High
ENSG00000248144	ADH1C	Low
ENSG00000248098	BCKDHA	High
ENSG00000247077	PGAM5	Medium
ENSG00000246705	H2AJ	High
ENSG00000245848	CEBPA	Medium
ENSG00000244754	N4BP2L2	Medium
ENSG00000244509	APOBEC3C	High
ENSG00000244486	SCARF2	High
ENSG00000244462	RBM12	Medium
ENSG00000244405	ETV5	High
ENSG00000244274	DBNDD2	High
ENSG00000244255	ENSG00000244255	Medium
ENSG00000244187	TMEM141	High
ENSG00000244165	P2RY11	Medium
ENSG00000244038	DDOST	Medium
ENSG00000244005	NFS1	High
ENSG00000243943	ZNF512	Medium
ENSG00000243927	MRPS6	High
ENSG00000243811	APOBEC3D	High
ENSG00000243789	JMJD7	High
ENSG00000243725	TTC4	High
ENSG00000243716	NPIPB5	High
ENSG00000243710	CFAP57	Low
ENSG00000243678	NME2	Medium
ENSG00000243667	DNAAF10	Medium
ENSG00000243646	IL10RB	Low
ENSG00000243509	TNFRSF6B	High
ENSG00000243477	NAA80	High
ENSG00000243279	PRAF2	High
ENSG00000243156	MICAL3	High
ENSG00000243147	MRPL33	High
ENSG00000242866	STRC	High
ENSG00000242802	AP5Z1	High
ENSG00000242732	RTL5	Medium
ENSG00000242689	CNTF	High
ENSG00000242574	HLA-DMB	Medium
ENSG00000242485	MRPL20	Medium
ENSG00000242372	EIF6	Medium
ENSG00000242110	AMACR	Medium
ENSG00000241973	PI4KA	Medium
ENSG00000241935	HOGA1	Medium
ENSG00000241878	PISD	Medium
ENSG00000241839	PLEKHO2	Low
ENSG00000241837	ATP5PO	High
ENSG00000241685	ARPC1A	High
ENSG00000241484	ARHGAP8	Low
ENSG00000241468	ATP5MF	Medium
ENSG00000241360	PDXP	High
ENSG00000241258	CRCP	High
ENSG00000241058	NSUN6	Medium
ENSG00000240972	MIF	Medium
ENSG00000240857	RDH14	High
ENSG00000240849	PEDS1	Medium
ENSG00000240771	ARHGEF25	Medium
ENSG00000240764	PCDHGC5	High
ENSG00000240694	PNMA2	High
ENSG00000240682	ISY1	High
ENSG00000240583	AQP1	High
ENSG00000240344	PPIL3	Medium
ENSG00000240303	ACAD11	High
ENSG00000240230	COX19	Low
ENSG00000240184	PCDHGC3	Medium
ENSG00000240065	PSMB9	Low
ENSG00000239900	ADSL	High
ENSG00000239887	C1orf226	High
ENSG00000239789	MRPS17	Medium
ENSG00000239779	WBP1	Medium
ENSG00000239672	NME1	Medium
ENSG00000239306	RBM14	High
ENSG00000239305	RNF103	Medium
ENSG00000239282	CASTOR1	High
ENSG00000239264	TXNDC5	Low
ENSG00000238227	TMEM250	High
ENSG00000237651	C2orf74	High
ENSG00000237649	KIFC1	Low
ENSG00000237441	RGL2	Medium
ENSG00000237190	CDKN2AIPNL	Medium
ENSG00000237172	B3GNT9	High
ENSG00000236609	ZNF853	High
ENSG00000236444	UBE2L5	Low
ENSG00000236279	CLEC2L	High
ENSG00000235863	B3GALT4	Medium
ENSG00000235750	KIAA0040	Low
ENSG00000235376	RPEL1	Low
ENSG00000235194	PPP1R3E	Medium
ENSG00000235169	SMIM1	Low
ENSG00000235109	ZSCAN31	High
ENSG00000235034	C19orf81	Medium
ENSG00000234745	HLA-B	High
ENSG00000234719	NPIPB2	Medium
ENSG00000234289	H2BC12L	High
ENSG00000234127	TRIM26	Medium
ENSG00000233954	UQCRHL	High
ENSG00000233927	RPS28	High
ENSG00000233822	H2BC15	High
ENSG00000233276	GPX1	Medium
ENSG00000233232	NPIPB7	High
ENSG00000233024	NPIPA9	High
ENSG00000232838	PET117	Medium
ENSG00000231925	TAPBP	High
ENSG00000231500	RPS18	High
ENSG00000231389	HLA-DPA1	Low
ENSG00000230667	SETSIP	High
ENSG00000230124	ACBD6	High
ENSG00000229117	RPL41	High
ENSG00000227500	SCAMP4	High
ENSG00000227345	PARG	Medium
ENSG00000226742	HSBP1L1	Low
ENSG00000225921	NOL7	High
ENSG00000225697	SLC26A6	Medium
ENSG00000225663	MCRIP1	Medium
ENSG00000225190	PLEKHM1	High
ENSG00000224712	NPIPA3	High
ENSG00000224531	SMIM13	High
ENSG00000224051	CPTP	Low
ENSG00000223865	HLA-DPB1	Low
ENSG00000223802	CERS1	Medium
ENSG00000221994	ZNF630	High
ENSG00000221983	UBA52	High
ENSG00000221978	CCNL2	High
ENSG00000221968	FADS3	Medium
ENSG00000221963	APOL6	Low
ENSG00000221947	XKR9	Medium
ENSG00000221946	FXYD7	Medium
ENSG00000221944	TIGD1	Medium
ENSG00000221914	PPP2R2A	High
ENSG00000221890	NPTXR	Medium
ENSG00000221886	ZBED8	Medium
ENSG00000221866	PLXNA4	Medium
ENSG00000221838	AP4M1	Low
ENSG00000221829	FANCG	High
ENSG00000221823	PPP3R1	High
ENSG00000221821	C6orf226	High
ENSG00000219545	UMAD1	High
ENSG00000219481	NBPF1	Medium
ENSG00000218891	ZNF579	High
ENSG00000218336	TENM3	Low
ENSG00000217128	FNIP1	Low
ENSG00000216490	IFI30	Low
ENSG00000215883	CYB5RL	Medium
ENSG00000215845	TSTD1	Low
ENSG00000215712	TMEM242	Medium
ENSG00000215695	RSC1A1	Medium
ENSG00000215472	RPL17-C18orf32	High
ENSG00000215440	NPEPL1	Medium
ENSG00000215305	VPS16	High
ENSG00000215301	DDX3X	High
ENSG00000215251	FASTKD5	Medium
ENSG00000215193	PEX26	Medium
ENSG00000215126	ZNG1F	High
ENSG00000215021	PHB2	Medium
ENSG00000214967	NPIPA7	High
ENSG00000214944	ARHGEF28	High
ENSG00000214940	NPIPA8	High
ENSG00000214756	CSKMT	Medium
ENSG00000214753	HNRNPUL2	Medium
ENSG00000214736	TOMM6	Low
ENSG00000214717	ZBED1	Medium
ENSG00000214706	IFRD2	Medium
ENSG00000214694	ARHGEF33	High
ENSG00000214655	ZSWIM8	Medium
ENSG00000214517	PPME1	Medium
ENSG00000214510	SPINK13	Low
ENSG00000214413	BBIP1	Medium
ENSG00000214367	HAUS3	Medium
ENSG00000214357	NEURL1B	Medium
ENSG00000214253	FIS1	High
ENSG00000214226	C17orf67	Medium
ENSG00000214193	SH3D21	High
ENSG00000214160	ALG3	Low
ENSG00000214114	MYCBP	Medium
ENSG00000214113	LYRM4	High
ENSG00000214050	FBXO16	High
ENSG00000214026	MRPL23	High
ENSG00000214022	REPIN1	Medium
ENSG00000214021	TTLL3	High
ENSG00000214013	GANC	High
ENSG00000213995	NAXD	High
ENSG00000213983	AP1G2	Medium
ENSG00000213977	TAX1BP3	Low
ENSG00000213934	HBG1	Low
ENSG00000213931	HBE1	Low
ENSG00000213930	GALT	High
ENSG00000213928	IRF9	Low
ENSG00000213923	CSNK1E	Medium
ENSG00000213918	DNASE1	Low
ENSG00000213903	LTB4R	Low
ENSG00000213859	KCTD11	Medium
ENSG00000213782	DDX47	High
ENSG00000213762	ZNF134	High
ENSG00000213760	ATP6V1G2	High
ENSG00000213741	RPS29	High
ENSG00000213699	SLC35F6	Medium
ENSG00000213689	TREX1	Medium
ENSG00000213648	SULT1A4	Low
ENSG00000213639	PPP1CB	Medium
ENSG00000213626	LBH	High
ENSG00000213619	NDUFS3	High
ENSG00000213614	HEXA	Medium
ENSG00000213593	TMX2	High
ENSG00000213585	VDAC1	High
ENSG00000213551	DNAJC9	Medium
ENSG00000213523	SRA1	High
ENSG00000213516	RBMXL1	High
ENSG00000213465	ARL2	Medium
ENSG00000213463	SYNJ2BP	Low
ENSG00000213462	ERV3-1	Medium
ENSG00000213445	SIPA1	Medium
ENSG00000213424	KRT222	Medium
ENSG00000213380	COG8	Medium
ENSG00000213366	GSTM2	Low
ENSG00000213341	CHUK	High
ENSG00000213339	QTRT1	Medium
ENSG00000213337	ANKRD39	Medium
ENSG00000213199	ASIC3	Medium
ENSG00000213145	CRIP1	Low
ENSG00000213139	CRYGS	Medium
ENSG00000213079	SCAF8	High
ENSG00000213064	SFT2D2	Low
ENSG00000213024	NUP62	High
ENSG00000213015	ZNF580	Medium
ENSG00000212916	MAP10	Medium
ENSG00000211895	IGHA1	Medium
ENSG00000211890	IGHA2	Medium
ENSG00000211584	SLC48A1	Medium
ENSG00000211456	SACM1L	Medium
ENSG00000211455	STK38L	Medium
ENSG00000206527	HACD2	Medium
ENSG00000206418	RAB12	High
ENSG00000206181	ELOA2	Medium
ENSG00000206107	KRTAP27-1	Medium
ENSG00000206075	SERPINB5	Low
ENSG00000206053	JPT2	Low
ENSG00000206052	DOK6	Medium
ENSG00000205981	DNAJC19	Medium
ENSG00000205978	NYNRIN	High
ENSG00000205937	RNPS1	High
ENSG00000205929	C21orf62	Medium
ENSG00000205927	OLIG2	High
ENSG00000205923	CEMP1	Low
ENSG00000205808	PLPP6	Medium
ENSG00000205758	CRYZL1	Medium
ENSG00000205726	ITSN1	Medium
ENSG00000205683	DPF3	High
ENSG00000205639	MFSD2B	Medium
ENSG00000205609	EIF3CL	High
ENSG00000205581	HMGN1	High
ENSG00000205571	SMN2	High
ENSG00000205542	TMSB4X	Medium
ENSG00000205531	NAP1L4	Medium
ENSG00000205436	EXOC3L4	Medium
ENSG00000205413	SAMD9	Medium
ENSG00000205363	INSYN1	High
ENSG00000205362	MT1A	High
ENSG00000205356	TECPR1	Low
ENSG00000205339	IPO7	High
ENSG00000205323	SARNP	Medium
ENSG00000205302	SNX2	Low
ENSG00000205268	PDE7A	Medium
ENSG00000205220	PSMB10	Medium
ENSG00000205189	ZBTB10	High
ENSG00000205155	PSENEN	High
ENSG00000205116	TMEM88B	Medium
ENSG00000205090	TMEM240	Medium
ENSG00000205089	CCNI2	Medium
ENSG00000205084	TMEM231	Medium
ENSG00000205060	SLC35B4	Medium
ENSG00000204977	TRIM13	High
ENSG00000204970	PCDHA1	Medium
ENSG00000204967	PCDHA4	Medium
ENSG00000204965	PCDHA5	Medium
ENSG00000204922	UQCC3	Medium
ENSG00000204899	MZT1	Medium
ENSG00000204869	IGFL4	Low
ENSG00000204856	FAM216A	Low
ENSG00000204852	TCTN1	High
ENSG00000204851	PNMA8B	Medium
ENSG00000204843	DCTN1	Medium
ENSG00000204842	ATXN2	High
ENSG00000204713	TRIM27	High
ENSG00000204673	AKT1S1	Low
ENSG00000204655	MOG	High
ENSG00000204653	ASPDH	Medium
ENSG00000204619	PPP1R11	Low
ENSG00000204612	FOXB2	Medium
ENSG00000204611	ZNF616	High
ENSG00000204592	HLA-E	Medium
ENSG00000204580	DDR1	High
ENSG00000204574	ABCF1	Medium
ENSG00000204569	PPP1R10	High
ENSG00000204568	MRPS18B	High
ENSG00000204560	DHX16	High
ENSG00000204531	POU5F1	Medium
ENSG00000204514	ZNF814	Low
ENSG00000204472	AIF1	High
ENSG00000204463	BAG6	Medium
ENSG00000204442	NALF1	High
ENSG00000204438	GPANK1	High
ENSG00000204435	CSNK2B	High
ENSG00000204427	ABHD16A	Medium
ENSG00000204396	VWA7	Medium
ENSG00000204394	VARS1	High
ENSG00000204392	LSM2	High
ENSG00000204389	HSPA1A	Low
ENSG00000204388	HSPA1B	High
ENSG00000204386	NEU1	Medium
ENSG00000204385	SLC44A4	Medium
ENSG00000204381	LAYN	Medium
ENSG00000204371	EHMT2	Low
ENSG00000204370	SDHD	Medium
ENSG00000204366	ZBTB12	High
ENSG00000204356	NELFE	High
ENSG00000204348	DXO	Medium
ENSG00000204323	SMIM5	High
ENSG00000204316	MRPL38	Medium
ENSG00000204315	FKBPL	Medium
ENSG00000204314	PRRT1	Medium
ENSG00000204310	AGPAT1	High
ENSG00000204305	AGER	Low
ENSG00000204304	PBX2	High
ENSG00000204291	COL15A1	Medium
ENSG00000204287	HLA-DRA	High
ENSG00000204267	TAP2	Low
ENSG00000204264	PSMB8	Medium
ENSG00000204257	HLA-DMA	Low
ENSG00000204256	BRD2	Low
ENSG00000204252	HLA-DOA	Low
ENSG00000204231	RXRB	High
ENSG00000204228	HSD17B8	Low
ENSG00000204227	RING1	High
ENSG00000204220	PFDN6	Medium
ENSG00000204219	TCEA3	High
ENSG00000204217	BMPR2	High
ENSG00000204209	DAXX	Medium
ENSG00000204179	PTPN20	Low
ENSG00000204175	GPRIN2	Medium
ENSG00000204174	NPY4R	Low
ENSG00000204161	TMEM273	Low
ENSG00000204160	ZDHHC18	High
ENSG00000204138	PHACTR4	Medium
ENSG00000204136	GGTA1	High
ENSG00000204130	RUFY2	High
ENSG00000204120	GIGYF2	Medium
ENSG00000204104	TRAF3IP1	Low
ENSG00000204103	MAFB	Medium
ENSG00000204099	NEU4	Medium
ENSG00000204086	RPA4	High
ENSG00000204084	INPP5B	Medium
ENSG00000204070	SYS1	Medium
ENSG00000204065	TCEAL5	Medium
ENSG00000204052	LRRC73	High
ENSG00000203943	SAMD13	Medium
ENSG00000203896	LIME1	Medium
ENSG00000203880	PCMTD2	Medium
ENSG00000203879	GDI1	High
ENSG00000203852	H3C15	High
ENSG00000203814	H2BC18	High
ENSG00000203811	H3C14	High
ENSG00000203805	PLPP4	High
ENSG00000203797	DDO	Medium
ENSG00000203791	EEF1AKMT2	Medium
ENSG00000203783	PRR9	Low
ENSG00000203705	TATDN3	High
ENSG00000203668	CHML	Medium
ENSG00000203667	COX20	Medium
ENSG00000203666	EFCAB2	High
ENSG00000203485	INF2	Medium
ENSG00000198964	SGMS1	Medium
ENSG00000198961	PJA2	High
ENSG00000198960	ARMCX6	Medium
ENSG00000198959	TGM2	Low
ENSG00000198951	NAGA	Medium
ENSG00000198948	MFAP3L	Low
ENSG00000198947	DMD	Low
ENSG00000198945	L3MBTL3	Medium
ENSG00000198944	SOWAHA	Medium
ENSG00000198938	MT-CO3	Medium
ENSG00000198934	MAGEE1	High
ENSG00000198933	TBKBP1	Medium
ENSG00000198932	GPRASP1	High
ENSG00000198931	APRT	Low
ENSG00000198929	NOS1AP	Medium
ENSG00000198924	DCLRE1A	Medium
ENSG00000198920	KIAA0753	Medium
ENSG00000198919	DZIP3	Medium
ENSG00000198917	SPOUT1	High
ENSG00000198915	RASGEF1A	High
ENSG00000198914	POU3F3	Low
ENSG00000198912	C1orf174	Low
ENSG00000198911	SREBF2	Medium
ENSG00000198910	L1CAM	High
ENSG00000198901	PRC1	High
ENSG00000198900	TOP1	High
ENSG00000198890	PRMT6	Medium
ENSG00000198889	DCAF12L1	Medium
ENSG00000198888	MT-ND1	Medium
ENSG00000198887	SMC5	High
ENSG00000198886	MT-ND4	Medium
ENSG00000198883	PNMA5	High
ENSG00000198874	TYW1	Medium
ENSG00000198873	GRK5	Medium
ENSG00000198865	CCDC152	Medium
ENSG00000198860	TSEN15	Low
ENSG00000198855	FICD	Medium
ENSG00000198846	TOX	Low
ENSG00000198843	SELENOT	Medium
ENSG00000198841	KTI12	Medium
ENSG00000198840	MT-ND3	High
ENSG00000198837	DENND4B	High
ENSG00000198836	OPA1	Medium
ENSG00000198833	UBE2J1	High
ENSG00000198832	SELENOM	Medium
ENSG00000198830	HMGN2	High
ENSG00000198826	ARHGAP11A	Medium
ENSG00000198824	CHAMP1	High
ENSG00000198818	SFT2D1	High
ENSG00000198816	ZNF358	Medium
ENSG00000198805	PNP	Medium
ENSG00000198804	MT-CO1	High
ENSG00000198795	ZNF521	High
ENSG00000198794	SCAMP5	High
ENSG00000198793	MTOR	Medium
ENSG00000198792	TMEM184B	Medium
ENSG00000198783	ZNF830	High
ENSG00000198780	FAM169A	High
ENSG00000198774	RASSF9	Medium
ENSG00000198756	COLGALT2	High
ENSG00000198755	RPL10A	High
ENSG00000198753	PLXNB3	High
ENSG00000198752	CDC42BPB	Medium
ENSG00000198746	GPATCH3	Medium
ENSG00000198742	SMURF1	Medium
ENSG00000198730	CTR9	Medium
ENSG00000198729	PPP1R14C	Medium
ENSG00000198728	LDB1	High
ENSG00000198727	MT-CYB	Medium
ENSG00000198722	UNC13B	Medium
ENSG00000198721	ECI2	Low
ENSG00000198712	MT-CO2	High
ENSG00000198707	CEP290	Medium
ENSG00000198689	SLC9A6	High
ENSG00000198682	PAPSS2	Low
ENSG00000198680	TUSC1	Medium
ENSG00000198677	SKIC3	Medium
ENSG00000198668	CALM1	Medium
ENSG00000198648	STK39	High
ENSG00000198646	NCOA6	High
ENSG00000198643	FAM3D	Low
ENSG00000198626	RYR2	Medium
ENSG00000198625	MDM4	High
ENSG00000198604	BAZ1A	Medium
ENSG00000198589	LRBA	Medium
ENSG00000198586	TLK1	High
ENSG00000198561	CTNND1	Low
ENSG00000198523	PLN	Medium
ENSG00000198513	ATL1	High
ENSG00000198492	YTHDF2	High
ENSG00000198478	SH3BGRL2	High
ENSG00000198467	TPM2	Medium
ENSG00000198455	ZXDB	Medium
ENSG00000198431	TXNRD1	High
ENSG00000198429	ZNF69	Medium
ENSG00000198420	TCAF1	Medium
ENSG00000198408	OGA	Medium
ENSG00000198400	NTRK1	Medium
ENSG00000198399	ITSN2	High
ENSG00000198369	SPRED2	Medium
ENSG00000198356	GET3	High
ENSG00000198354	DCAF12L2	Medium
ENSG00000198331	HYLS1	Medium
ENSG00000198315	ZKSCAN8	High
ENSG00000198300	PEG3	High
ENSG00000198276	UCKL1	Medium
ENSG00000198270	TMEM116	Medium
ENSG00000198265	HELZ	High
ENSG00000198246	SLC29A3	High
ENSG00000198242	RPL23A	Low
ENSG00000198231	DDX42	High
ENSG00000198218	QRICH1	High
ENSG00000198208	RPS6KL1	Medium
ENSG00000198205	ZXDA	Medium
ENSG00000198198	SZT2	High
ENSG00000198189	HSD17B11	Low
ENSG00000198178	CLEC4C	Medium
ENSG00000198176	TFDP1	Low
ENSG00000198171	DDRGK1	Low
ENSG00000198169	ZNF251	Medium
ENSG00000198168	SVIP	High
ENSG00000198162	MAN1A2	High
ENSG00000198160	MIER1	Medium
ENSG00000198157	HMGN5	Low
ENSG00000198156	NPIPB6	Medium
ENSG00000198146	ZNF770	Medium
ENSG00000198133	TMEM229B	High
ENSG00000198131	ZNF544	High
ENSG00000198130	HIBCH	Medium
ENSG00000198113	TOR4A	Medium
ENSG00000198087	CD2AP	Medium
ENSG00000198064	NPIPB13	High
ENSG00000198055	GRK6	High
ENSG00000198053	SIRPA	High
ENSG00000198040	ZNF84	High
ENSG00000198034	RPS4X	High
ENSG00000198015	MRPL42	Medium
ENSG00000197976	AKAP17A	High
ENSG00000197971	MBP	High
ENSG00000197969	VPS13A	Medium
ENSG00000197965	MPZL1	Medium
ENSG00000197958	RPL12	Medium
ENSG00000197956	S100A6	High
ENSG00000197948	FCHSD1	High
ENSG00000197943	PLCG2	Low
ENSG00000197935	ZNF311	Medium
ENSG00000197930	ERO1A	High
ENSG00000197928	ZNF677	Medium
ENSG00000197921	HES5	High
ENSG00000197903	H2BC12	High
ENSG00000197894	ADH5	Medium
ENSG00000197892	KIF13B	Low
ENSG00000197885	NKIRAS1	High
ENSG00000197879	MYO1C	Medium
ENSG00000197872	CYRIA	Medium
ENSG00000197860	SGTB	High
ENSG00000197858	GPAA1	High
ENSG00000197857	ZNF44	High
ENSG00000197852	INKA2	Medium
ENSG00000197837	H4C16	High
ENSG00000197822	OCLN	Low
ENSG00000197818	SLC9A8	Medium
ENSG00000197798	FAM118B	High
ENSG00000197785	ATAD3A	High
ENSG00000197780	TAF13	High
ENSG00000197779	ZNF81	High
ENSG00000197776	KLHDC1	Low
ENSG00000197756	RPL37A	High
ENSG00000197747	S100A10	High
ENSG00000197746	PSAP	High
ENSG00000197724	PHF2	High
ENSG00000197721	CR1L	Low
ENSG00000197713	RPE	Medium
ENSG00000197702	PARVA	High
ENSG00000197694	SPTAN1	High
ENSG00000197646	PDCD1LG2	Medium
ENSG00000197629	MPEG1	Medium
ENSG00000197620	EOLA1	Low
ENSG00000197603	CPLANE1	Medium
ENSG00000197601	FAR1	Medium
ENSG00000197594	ENPP1	Low
ENSG00000197586	ENTPD6	High
ENSG00000197579	TOPORS	High
ENSG00000197576	HOXA4	High
